chr,start,stop,Cluster,kimura_div_pct,aln_length,cpg_density_pct
chr1,3090982,3091685,1,4.62449756723929,698,0.7122507122507122
chr1,3344646,3350967,-1,,0,
chr1,3499498,3500000,-1,,0,
chr1,3500000,3502299,-1,,0,
chr1,3750147,3751122,-1,,0,
chr1,3805352,3806076,1,1.5662309169208757,723,0.6915629322268326
chr1,3823834,3824677,1,1.9504788609530834,843,0.831353919239905
chr1,3846871,3852833,-1,,0,
chr1,4187678,4192866,-1,,0,
chr1,4192866,4193848,0,4.336104792134404,982,1.019367991845056
chr1,4529123,4529842,1,1.1351352702071638,719,0.9749303621169917
chr1,4559597,4566001,-1,,0,
chr1,4566001,4567027,-1,,0,
chr1,4606627,4607142,0,0.3898655230015865,515,0.9727626459143969
chr1,4607142,4608138,0,2.587481532502856,995,0.9045226130653267
chr1,4727126,4727685,1,2.819830580970236,557,1.4336917562724014
chr1,4902279,4902316,1,12.060653731107324,36,0.0
chr1,5034732,5040935,-1,,0,
chr1,5189143,5194724,0,9.6826896922694,5547,1.3082437275985663
chr1,5194724,5195720,-1,,0,
chr1,5266738,5273059,-1,,0,
chr1,5293545,5294107,1,1.8882931516696775,558,0.8912655971479501
chr1,5350393,5356254,-1,,0,
chr1,5356254,5357250,-1,,0,
chr1,5423429,5428578,-1,,0,
chr1,5428579,5429545,0,3.1990774107717272,966,0.6217616580310881
chr1,5627363,5628483,-1,,0,
chr1,5700574,5702015,0,11.797456409360763,1428,0.625
chr1,5702015,5702446,1,0.5183093303060216,426,0.9302325581395349
chr1,5993095,5998361,-1,,0,
chr1,5998361,5999356,0,2.6821192170425787,995,0.6036217303822937
chr1,6144991,6151219,-1,,0,
chr1,6273547,6274182,-1,,0,
chr1,6558430,6558877,1,1.633915035589836,447,1.1210762331838564
chr1,6562823,6564450,-1,,0,
chr1,6564538,6568206,-1,,0,
chr1,6626440,6628074,0,11.054199192017183,1623,0.9185548071034905
chr1,6628139,6630845,-1,,0,
chr1,6676922,6677689,-1,,0,
chr1,7124210,7124477,-1,,0,
chr1,7157338,7157392,1,12.025698755638453,54,0.0
chr1,7190467,7195816,-1,,0,
chr1,7195816,7196812,-1,,0,
chr1,7281634,7288057,-1,,0,
chr1,7328681,7335740,0,10.702935305932238,7027,1.742703315386795
chr1,7718340,7721015,0,10.405287547757728,2660,0.7479431563201197
chr1,7787934,7792523,-1,,0,
chr1,7840581,7841883,-1,,0,
chr1,7843439,7848822,0,8.994282661703453,5371,1.1148272017837235
chr1,7848822,7849817,-1,,0,
chr1,8243918,8244456,1,3.4619321785962267,538,0.931098696461825
chr1,8248951,8253846,-1,,0,
chr1,8254407,8254906,0,2.0518840795232167,499,0.8032128514056225
chr1,8254906,8255904,0,3.710356771752447,995,0.802407221664995
chr1,8281356,8282253,0,12.165878061231982,878,0.8928571428571429
chr1,8517900,8523536,-1,,0,
chr1,8635008,8641386,-1,,0,
chr1,9058155,9063553,0,9.076577052461287,5384,1.1487863627941448
chr1,9063553,9064551,0,2.3782685104265866,996,0.6018054162487463
chr1,9240514,9246145,0,9.980862910095018,5606,1.2433392539964476
chr1,9246145,9247141,-1,,0,
chr1,9343909,9344438,-1,,0,
chr1,9479807,9480409,0,5.755374447961863,602,0.831946755407654
chr1,10382607,10388112,-1,,0,
chr1,10388112,10389108,0,3.1895989675188376,996,0.8040201005025126
chr1,10470196,10470656,1,2.2788342497955987,460,1.3071895424836601
chr1,10882284,10887768,-1,,0,
chr1,10887972,10888440,0,14.440862926593953,461,0.4282655246252677
chr1,10888433,10888670,0,36.10299067677391,236,4.661016949152542
chr1,11497876,11498860,0,3.785147992399314,984,0.8138351983723296
chr1,11505159,11505196,1,2.7591949882759885,37,0.0
chr1,11614884,11619353,-1,,0,
chr1,11714406,11720712,-1,,0,
chr1,11776815,11783770,-1,,0,
chr1,11887034,11887094,1,1.695077583784067,60,0.0
chr1,12080593,12081588,0,2.5895981844512588,995,0.6036217303822937
chr1,12176743,12177113,0,1.0890110528271681,370,1.084010840108401
chr1,12177113,12178109,-1,,0,
chr1,12283349,12283701,-1,,0,
chr1,12395951,12396367,0,21.156655800374686,414,0.24096385542168675
chr1,12550109,12550838,-1,,0,
chr1,12662852,12668535,-1,,0,
chr1,13334849,13335035,-1,,0,
chr1,13549030,13550457,0,11.259672689044647,1416,0.7713884992987378
chr1,13557739,13558690,-1,,0,
chr1,13730905,13737328,-1,,0,
chr1,13812588,13813097,1,1.4692290069679228,509,0.5905511811023622
chr1,13891061,13897392,-1,,0,
chr1,13963642,13964089,1,2.2722853064223907,447,1.345291479820628
chr1,14084869,14090721,0,11.362584615095683,5819,1.4356520252948215
chr1,14090721,14091717,0,2.899386800773772,996,0.7035175879396985
chr1,14113239,14119084,-1,,0,
chr1,14119084,14120080,-1,,0,
chr1,14158757,14159690,1,2.5293178064143453,933,0.7510729613733905
chr1,14167928,14168198,1,5.054262903822164,266,1.486988847583643
chr1,14395420,14396208,-1,,0,
chr1,14476212,14482475,-1,,0,
chr1,14493742,14494376,1,1.6168335772586153,632,1.263823064770932
chr1,14683807,14684102,1,9.376429816863375,295,1.3605442176870748
chr1,14783842,14784589,1,1.0812577274067343,747,0.938337801608579
chr1,14969312,14974715,-1,,0,
chr1,14974721,14976239,-1,,0,
chr1,15035393,15036013,1,1.3356078865326935,620,1.1308562197092085
chr1,15036015,15037619,-1,,0,
chr1,15083507,15089380,0,11.558819439863232,5821,1.5667574931880108
chr1,15089380,15090403,-1,,0,
chr1,15257902,15264360,-1,,0,
chr1,15395995,15396125,1,9.901280149000826,130,0.7751937984496124
chr1,15396125,15396637,0,1.0231955799914292,512,0.3913894324853229
chr1,15491464,15497695,-1,,0,
chr1,15525560,15526822,0,9.236198816940608,1251,0.9516256938937351
chr1,15928133,15933542,-1,,0,
chr1,15933548,15934685,-1,,0,
chr1,15989594,15989855,1,0.7737069680946439,260,1.9230769230769231
chr1,16163691,16170027,-1,,0,
chr1,16427663,16428295,1,3.755570628035745,632,1.109350237717908
chr1,16528188,16530263,0,15.98066079850209,2063,0.6750241080038573
chr1,16912862,16914568,-1,,0,
chr1,16914568,16915564,-1,,0,
chr1,16945563,16945773,1,4.46010336603292,210,1.4354066985645932
chr1,16947035,16953916,-1,,0,
chr1,16955272,16956468,0,7.856966137192536,1188,0.6694560669456067
chr1,16971013,16971926,1,2.5737973833317698,913,0.6578947368421053
chr1,17061228,17061976,1,1.512505115487205,748,0.6693440428380187
chr1,17143549,17144002,1,1.6067309762240851,453,0.8849557522123894
chr1,17202219,17202309,1,2.367226095241073,86,0.0
chr1,17261748,17262585,1,0.9740572385188755,837,0.7177033492822966
chr1,17288554,17294384,-1,,0,
chr1,17294485,17294816,-1,,0,
chr1,17376726,17377029,1,7.32388909970153,301,1.3245033112582782
chr1,17383283,17390159,-1,,0,
chr1,17454989,17455946,0,2.8335607905889493,957,0.41841004184100417
chr1,17466854,17472493,-1,,0,
chr1,17472494,17473489,-1,,0,
chr1,17679849,17686199,-1,,0,
chr1,17897629,17904101,-1,,0,
chr1,17916130,17922587,-1,,0,
chr1,17953162,17956735,-1,,0,
chr1,17963931,17965561,-1,,0,
chr1,17965561,17966553,0,2.58707684059175,992,0.8072653884964682
chr1,18085247,18086553,1,32.072929493578556,1278,0.9195402298850575
chr1,18086553,18087548,-1,,0,
chr1,18298926,18299908,0,3.3545540568931087,982,0.7135575942915392
chr1,18391916,18392169,1,4.486085319769799,253,1.5873015873015872
chr1,18437426,18437919,1,2.08782027210449,493,1.2195121951219512
chr1,18449049,18451509,-1,,0,
chr1,18451509,18452505,-1,,0,
chr1,18472708,18478219,-1,,0,
chr1,18478219,18479214,-1,,0,
chr1,18479259,18480077,1,2.6406803647352364,818,0.7343941248470012
chr1,18537027,18543535,-1,,0,
chr1,18543535,18544532,-1,,0,
chr1,18580341,18580831,0,3.8176376180230136,487,0.20449897750511248
chr1,18658620,18664271,0,10.182775437631857,5616,1.238938053097345
chr1,18664271,18665264,0,3.9658312555162314,993,0.6048387096774194
chr1,18803276,18804205,-1,,0,
chr1,18804205,18805200,0,2.4661046786220013,995,0.8048289738430584
chr1,18872424,18877658,0,9.572949602657973,5220,1.0892413529524174
chr1,18877658,18878654,-1,,0,
chr1,18892879,18893287,0,3.3074634971315646,408,0.9828009828009828
chr1,18900088,18901305,0,7.883348670365926,1199,0.7401315789473685
chr1,18937894,18938578,1,1.3652237917839642,673,1.171303074670571
chr1,19013974,19014772,0,11.94666682332088,786,0.8782936010037641
chr1,19014772,19015544,1,2.0488245956357476,767,0.38910505836575876
chr1,19083589,19083971,1,2.398724658017265,382,1.0498687664041995
chr1,19372290,19377716,0,9.940204603724155,5410,1.2534562211981566
chr1,19377716,19378712,-1,,0,
chr1,19381241,19382429,0,7.496971954397255,1172,0.6739679865206403
chr1,19393702,19394075,1,2.742575898502198,373,0.8064516129032258
chr1,19398790,19404030,0,8.73282100541036,5229,1.1643443405230005
chr1,19404030,19405029,-1,,0,
chr1,19443832,19450262,-1,,0,
chr1,19799327,19800439,-1,,0,
chr1,19800445,19804861,-1,,0,
chr1,19804861,19805851,-1,,0,
chr1,19994280,19994889,1,2.3684486630271175,607,1.1513157894736843
chr1,19995550,19995609,-1,,0,
chr1,20040187,20041962,0,9.943502730739363,1763,0.8455467869222097
chr1,20042465,20043586,-1,,0,
chr1,20043580,20045159,-1,,0,
chr1,20228997,20235098,-1,,0,
chr1,20249127,20250175,-1,,0,
chr1,20250175,20251171,-1,,0,
chr1,20262114,20262918,-1,,0,
chr1,20277947,20284795,-1,,0,
chr1,20420806,20422128,0,8.435787325054065,1311,0.9084027252081757
chr1,20432213,20438499,-1,,0,
chr1,20438499,20439495,-1,,0,
chr1,20525565,20530745,-1,,0,
chr1,20530745,20531741,0,2.809678130333386,996,0.4020100502512563
chr1,20560644,20561086,-1,,0,
chr1,20637612,20638883,-1,,0,
chr1,20638883,20639874,0,2.4751774654114587,991,0.7070707070707071
chr1,20642390,20648531,-1,,0,
chr1,20709486,20710354,-1,,0,
chr1,20918748,20919349,1,1.3604317444641079,601,0.8333333333333334
chr1,21195385,21202212,-1,,0,
chr1,21353223,21353347,1,3.311894562158542,124,0.8130081300813008
chr1,21481514,21481730,-1,,0,
chr1,21579248,21581626,0,11.25301539463305,2368,0.8413967185527976
chr1,21647629,21648214,1,4.562912503658338,578,0.8561643835616438
chr1,22092291,22097479,-1,,0,
chr1,22097479,22098475,0,2.575641495145724,996,0.7035175879396985
chr1,22153343,22154092,-1,,0,
chr1,22155951,22157393,-1,,0,
chr1,22160264,22162468,-1,,0,
chr1,22162468,22163464,-1,,0,
chr1,22281984,22282457,-1,,0,
chr1,22328755,22329623,-1,,0,
chr1,22374067,22374230,1,7.345846872914626,163,1.2345679012345678
chr1,22381390,22381886,1,4.812125018710928,496,1.2121212121212122
chr1,22560128,22560367,1,3.006512902870726,239,1.680672268907563
chr1,22637005,22638238,0,8.705102216467818,1223,0.6493506493506493
chr1,22667005,22667911,-1,,0,
chr1,22667911,22668907,-1,,0,
chr1,22683274,22683314,0,2.6321866742711015,39,2.5641025641025643
chr1,22979541,22979591,1,0.0,50,0.0
chr1,23000658,23001009,0,7.2930956636986455,350,0.8571428571428571
chr1,23001009,23001700,1,2.862247741296705,684,0.7246376811594203
chr1,23055051,23055645,1,1.707502494909677,594,1.1804384485666104
chr1,23295730,23301110,-1,,0,
chr1,23306356,23307415,-1,,0,
chr1,23315144,23315309,1,5.914684233377724,164,1.2195121951219512
chr1,23315309,23316418,0,13.840762058378509,1098,0.7220216606498195
chr1,23457711,23458090,1,1.116791823547301,379,0.5291005291005291
chr1,23619542,23620538,0,3.2010148432067487,996,0.4020100502512563
chr1,23882237,23882295,1,11.161918882067884,58,0.0
chr1,24036320,24037035,1,2.9341822694842374,702,0.9803921568627451
chr1,24075198,24076415,-1,,0,
chr1,24076413,24080635,-1,,0,
chr1,24080635,24081631,-1,,0,
chr1,24215493,24215859,1,2.218540634156587,366,1.095890410958904
chr1,24639746,24646186,-1,,0,
chr1,24672336,24672384,-1,,0,
chr1,24721309,24722418,-1,,0,
chr1,24722424,24726841,-1,,0,
chr1,24726842,24727838,-1,,0,
chr1,24897534,24897627,1,4.8067343037126715,86,0.0
chr1,24908509,24909308,1,1.2885362494636476,799,0.6265664160401002
chr1,25125452,25126448,-1,,0,
chr1,25282622,25283159,1,2.271081261656641,537,1.3059701492537314
chr1,25321208,25321378,-1,,0,
chr1,25391888,25392225,-1,,0,
chr1,25403224,25408443,0,9.05185413434072,5210,0.8623993867382139
chr1,25408444,25409440,0,3.7537911688140317,996,0.5025125628140703
chr1,25520343,25526546,-1,,0,
chr1,25590833,25596260,0,9.848405069136886,5411,1.2716549944710653
chr1,25596260,25597256,-1,,0,
chr1,25605352,25606348,0,2.991547138026961,996,0.5025125628140703
chr1,25662055,25668295,-1,,0,
chr1,25668295,25669291,-1,,0,
chr1,25909773,25915713,-1,,0,
chr1,25992496,25992971,1,1.512408186211571,475,1.2658227848101267
chr1,26082150,26082189,0,14.18406169823083,39,0.0
chr1,26206621,26206684,1,6.644104989994457,63,0.0
chr1,26211640,26211879,1,2.131449218965221,238,2.100840336134454
chr1,26333124,26333179,1,0.0,55,0.0
chr1,26586221,26587869,-1,,0,
chr1,26587934,26591599,-1,,0,
chr1,26710642,26711166,-1,,0,
chr1,26734899,26735024,1,5.008998993637372,125,0.8064516129032258
chr1,26801341,26803003,-1,,0,
chr1,26803003,26803999,-1,,0,
chr1,26825919,26825967,0,2.174255596986939,47,0.0
chr1,27021773,27022208,0,6.069866970799661,435,0.2304147465437788
chr1,27022209,27022588,-1,,0,
chr1,27033032,27033757,1,1.960736442338775,724,1.1049723756906078
chr1,27049651,27050919,-1,,0,
chr1,27050919,27051914,0,3.438585292261747,995,0.704225352112676
chr1,27089184,27089648,1,1.744912187497934,464,2.159827213822894
chr1,27144655,27145677,0,2.7095595649888873,996,0.6856023506366308
chr1,27147599,27147650,1,0.0,51,0.0
chr1,27159405,27165196,-1,,0,
chr1,27165196,27166191,-1,,0,
chr1,27613920,27614194,1,2.683690379436331,267,1.465201465201465
chr1,27614195,27614384,0,3.2460297639271385,189,1.0638297872340425
chr1,27738145,27741924,-1,,0,
chr1,27741924,27742918,0,3.4527444051612592,994,0.5035246727089627
chr1,27749277,27749500,1,3.851350531793741,223,0.45045045045045046
chr1,27755094,27760319,0,9.298904291881419,5214,1.0911179173047474
chr1,27760319,27761315,-1,,0,
chr1,27832043,27832398,0,2.608213695326446,355,0.2824858757062147
chr1,27832398,27832958,1,2.0375590062553606,558,1.073345259391771
chr1,27993337,27994333,-1,,0,
chr1,28132826,28133366,-1,,0,
chr1,28186281,28192894,-1,,0,
chr1,28287584,28293849,-1,,0,
chr1,28293849,28294845,-1,,0,
chr1,28302785,28307891,-1,,0,
chr1,28307891,28308885,0,4.066112069259885,994,0.8056394763343404
chr1,28398920,28404167,0,8.5496011376143,5236,0.9912314144109798
chr1,28404167,28405162,-1,,0,
chr1,28498912,28499285,-1,,0,
chr1,28532931,28533390,-1,,0,
chr1,28600877,28601017,1,9.121372861044566,140,1.4388489208633093
